1000000041,Carol,Carter,SHOP,U79gTgWxXx,01538357211,../images/default.jpg,87289,8971,259 Fifth Avenue,fHaqduxFoT,6079,Rangpur,cca@gmail.com
1000000042,Frances,Fox,SHOP,0fNfZljAOd,01163872281,../images/default.jpg,36416,606,191 Broadway,uoDHctDeKh,7341,Noakhali,francesf@icloud.com
1000000043,Benjamin,Brown,SHOP,oLMsXfjg1C,01065275572,../images/default.jpg,1222,7,387 Riverview Road,EmrwhmCVNj,5458,Rangpur,benjamin10@icloud.com
1000000044,Roger,Cooper,CUSTOMER,yzi8RJe1hl,01016858088,../images/default.jpg,27,4,164 Bergen St,zgfsvekfdm,6836,Rajshahi,rogecoo@gmail.com
1000000045,Ruth,Webb,CUSTOMER,vsEOIXiYIP,01068466819,../images/default.jpg,8,4,263 West Houston Street,tSHAKsijah,3187,Dhaka,ruwebb@outlook.com
1000000046,Theresa,Brown,SHOP,mMcI5xqQPx,01040963483,../images/default.jpg,49,8154,460 North Michigan Ave,umBpBTBTOe,5012,Khulna,theresa902@mail.com
1000000047,Antonio,Moreno,CUSTOMER,lP1Ce8DvTe,01103896851,../images/default.jpg,6263,108,566 Fern Street,MwpMnldTju,7552,Jessore,antoniomoreno1023@icloud.com
1000000048,Michelle,Wallace,SHOP,YgJiAavm06,01738988425,../images/default.jpg,2,02,912 Diplomacy Drive,YTkwbDnNir,8677,Dinajpur,mwalla@mail.com
1000000049,Martin,Phillips,SHOP,SaxUi4V8uq,01669061308,../images/default.jpg,748,1,252 Wicklow Road,XEiCgybiPR,6635,Dinajpur,maphil@icloud.com
1000000050,Doris,Ramos,SHOP,yXCqqoSiMb,01796346737,../images/default.jpg,7355,73397,82 Flatbush Ave,wqCfceMvUs,4327,Jessore,ramosdori@hotmail.com
1000000051,Arthur,Ramos,SHOP,lpuc0vx6Ad,01440789425,../images/default.jpg,2,5,305 Broadway,KBOtElVjig,4295,Rajshahi,ramos97@mail.com
1000000052,Daniel,Robertson,CUSTOMER,mD4HdwogCa,01954387669,../images/default.jpg,8725,9753,133 Rush Street,eFpCtvDVwg,3890,Rajshahi,robertsond1@gmail.com
